Centro,Zona,Nivel_Educativo,Nivel_Economico,Acceso_Internet,Dispositivos_por_Alumno,Frecuencia_Conexion
Centro_1,Urbana,Secundaria,Bajo,0.65,0.98,Diaria
Centro_2,Rural,Secundaria,Medio,0.84,0.65,Semanal
Centro_3,Rural,Primaria,Bajo,0.56,0.77,Semanal
Centro_4,Semiurbana,Primaria,Bajo,0.34,0.67,Semanal
Centro_5,Semiurbana,Primaria,Bajo,0.35,0.8,Esporádica
Centro_6,Urbana,Primaria,Bajo,0.73,1.0,Diaria
Centro_7,Semiurbana,Bachillerato,Bajo,0.65,0.68,Semanal
Centro_8,Semiurbana,Primaria,Medio,0.57,0.3,Diaria
Centro_9,Rural,Primaria,Bajo,0.53,0.98,Semanal
Centro_10,Rural,Bachillerato,Medio,0.46,0.51,Diaria
Centro_11,Urbana,Secundaria,Alto,0.88,1.18,Diaria
Centro_12,Urbana,Bachillerato,Alto,0.66,1.19,Diaria
Centro_13,Semiurbana,Secundaria,Alto,0.58,1.28,Esporádica
Centro_14,Rural,Bachillerato,Alto,0.9,1.31,Semanal
Centro_15,Urbana,Bachillerato,Bajo,0.73,0.69,Semanal
Centro_16,Urbana,Secundaria,Medio,0.45,0.37,Diaria
Centro_17,Semiurbana,Secundaria,Bajo,0.33,0.93,Esporádica
Centro_18,Rural,Bachillerato,Bajo,0.3,0.58,Semanal
Centro_19,Rural,Bachillerato,Bajo,0.5,0.68,Diaria
Centro_20,Semiurbana,Secundaria,Medio,0.84,1.0,Esporádica
